FAOSTAT 2013,,,,,
Elements Ê,,Areas Ê,,Items Ê,2009
Belgium,255,"Oranges, Mandarines",2611,"187Ê600.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Belize,23,Apples and products,2617,"1Ê257.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Belize,23,"Oranges, Mandarines",2611,"25Ê523.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Benin,53,Apples and products,2617,"18Ê924.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Benin,53,"Oranges, Mandarines",2611,"13Ê209.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Bermuda,17,Apples and products,2617,"247.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Bermuda,17,"Oranges, Mandarines",2611,"112.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Bolivia (Plurinational State of),19,Apples and products,2617,"21Ê708.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Bolivia (Plurinational State of),19,"Oranges, Mandarines",2611,"120Ê824.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Bosnia and Herzegovina,80,Apples and products,2617,"68Ê351.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Bosnia and Herzegovina,80,"Oranges, Mandarines",2611,"41Ê109.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Botswana,20,Apples and products,2617,"9Ê783.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Botswana,20,"Oranges, Mandarines",2611,"17Ê438.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Brazil,21,Apples and products,2617,"957Ê484.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Brazil,21,"Oranges, Mandarines",2611,"8Ê294Ê156.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Brunei Darussalam,26,Apples and products,2617,"8Ê813.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Brunei Darussalam,26,"Oranges, Mandarines",2611,"5Ê637.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Bulgaria,27,Apples and products,2617,"52Ê604.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Bulgaria,27,"Oranges, Mandarines",2611,"41Ê743.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Burkina Faso,233,Apples and products,2617,"488.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Burkina Faso,233,"Oranges, Mandarines",2611,"2Ê620.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Burundi,29,Apples and products,2617,"29.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Burundi,29,"Oranges, Mandarines",2611,"109.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Cabo Verde,35,Apples and products,2617,"6Ê059.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Cabo Verde,35,"Oranges, Mandarines",2611,"7Ê202.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Cambodia,115,Apples and products,2617,"2Ê265.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Cambodia,115,"Oranges, Mandarines",2611,"65Ê304.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Cameroon,32,Apples and products,2617,"5Ê005.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Cameroon,32,"Oranges, Mandarines",2611,"825.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Canada,33,Apples and products,2617,"734Ê755.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Canada,33,"Oranges, Mandarines",2611,"1Ê573Ê889.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Central African Republic,37,Apples and products,2617,"10.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Central African Republic,37,"Oranges, Mandarines",2611,"18Ê868.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Chad,39,Apples and products,2617,,
Food supply quantity (tonnes) (tonnes),,,,,
Chad,39,"Oranges, Mandarines",2611,"2.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Chile,40,Apples and products,2617,"167Ê947.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Chile,40,"Oranges, Mandarines",2611,"96Ê184.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
China,351,Apples and products,2617,"22Ê154Ê225.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
China,351,"Oranges, Mandarines",2611,"13Ê506Ê314.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Colombia,44,Apples and products,2617,"75Ê637.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Colombia,44,"Oranges, Mandarines",2611,"326Ê788.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Comoros,45,Apples and products,2617,"4.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Comoros,45,"Oranges, Mandarines",2611,"356.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Congo,46,Apples and products,2617,"154.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Congo,46,"Oranges, Mandarines",2611,"4Ê981.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Costa Rica,48,Apples and products,2617,"30Ê628.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Costa Rica,48,"Oranges, Mandarines",2611,"22Ê485.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Croatia,98,Apples and products,2617,"101Ê073.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Croatia,98,"Oranges, Mandarines",2611,"64Ê904.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Cuba,49,Apples and products,2617,"2Ê457.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Cuba,49,"Oranges, Mandarines",2611,"248Ê214.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Cyprus,50,Apples and products,2617,"16Ê098.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Cyprus,50,"Oranges, Mandarines",2611,"38Ê767.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Czech Republic,167,Apples and products,2617,"182Ê602.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Czech Republic,167,"Oranges, Mandarines",2611,"213Ê663.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
C™te d Ivoire,107,Apples and products,2617,"7Ê051.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
C™te d Ivoire,107,"Oranges, Mandarines",2611,"32Ê749.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Democratic People s Republic of Korea,116,Apples and products,2617,"655Ê103.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Democratic People s Republic of Korea,116,"Oranges, Mandarines",2611,"2.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Denmark,54,Apples and products,2617,"96Ê024.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Denmark,54,"Oranges, Mandarines",2611,"241Ê227.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Djibouti,72,Apples and products,2617,"843.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Djibouti,72,"Oranges, Mandarines",2611,"3Ê578.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Dominica,55,Apples and products,2617,"690.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Dominica,55,"Oranges, Mandarines",2611,"6Ê956.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Dominican Republic,56,Apples and products,2617,"10Ê856.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Dominican Republic,56,"Oranges, Mandarines",2611,"113Ê969.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Ecuador,58,Apples and products,2617,"52Ê007.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Ecuador,58,"Oranges, Mandarines",2611,"74Ê945.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Egypt,59,Apples and products,2617,"503Ê439.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Egypt,59,"Oranges, Mandarines",2611,"2Ê032Ê413.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
El Salvador,60,Apples and products,2617,"5Ê237.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
El Salvador,60,"Oranges, Mandarines",2611,"101Ê755.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Estonia,63,Apples and products,2617,"27Ê364.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Estonia,63,"Oranges, Mandarines",2611,"24Ê774.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Ethiopia,238,Apples and products,2617,"2Ê070.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Ethiopia,238,"Oranges, Mandarines",2611,"44Ê578.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Fiji,66,Apples and products,2617,"3Ê483.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Fiji,66,"Oranges, Mandarines",2611,"6Ê907.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Finland,67,Apples and products,2617,"116Ê185.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Finland,67,"Oranges, Mandarines",2611,"133Ê286.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
France,68,Apples and products,2617,"735Ê519.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
France,68,"Oranges, Mandarines",2611,"3Ê017Ê387.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
French Polynesia,70,Apples and products,2617,"3Ê507.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
French Polynesia,70,"Oranges, Mandarines",2611,"4Ê618.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Gabon,74,Apples and products,2617,"3Ê878.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Gabon,74,"Oranges, Mandarines",2611,"5Ê690.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Gambia,75,Apples and products,2617,"201.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Gambia,75,"Oranges, Mandarines",2611,"24.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Georgia,73,Apples and products,2617,"52Ê217.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Georgia,73,"Oranges, Mandarines",2611,"46Ê726.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Germany,79,Apples and products,2617,"1Ê713Ê762.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Germany,79,"Oranges, Mandarines",2611,"900Ê006.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Ghana,81,Apples and products,2617,"17Ê501.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Ghana,81,"Oranges, Mandarines",2611,"470Ê124.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Greece,84,Apples and products,2617,"157Ê578.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Greece,84,"Oranges, Mandarines",2611,"477Ê410.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Grenada,86,Apples and products,2617,"825.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Grenada,86,"Oranges, Mandarines",2611,"2Ê277.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Guatemala,89,Apples and products,2617,"19Ê430.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Guatemala,89,"Oranges, Mandarines",2611,"173Ê684.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Guinea-Bissau,175,Apples and products,2617,"35.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Guinea-Bissau,175,"Oranges, Mandarines",2611,"6Ê716.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Guinea,90,Apples and products,2617,"674.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Guinea,90,"Oranges, Mandarines",2611,"1Ê084.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Guyana,91,Apples and products,2617,"906.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Guyana,91,"Oranges, Mandarines",2611,"6Ê643.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Haiti,93,Apples and products,2617,"933.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Haiti,93,"Oranges, Mandarines",2611,"53Ê762.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Honduras,95,Apples and products,2617,"26Ê589.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Honduras,95,"Oranges, Mandarines",2611,"119Ê896.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Hungary,97,Apples and products,2617,"422Ê740.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Hungary,97,"Oranges, Mandarines",2611,"101Ê291.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Iceland,99,Apples and products,2617,"9Ê325.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Iceland,99,"Oranges, Mandarines",2611,"10Ê207.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
India,100,Apples and products,2617,"1Ê698Ê181.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
India,100,"Oranges, Mandarines",2611,"4Ê678Ê265.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Indonesia,101,Apples and products,2617,"162Ê865.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Indonesia,101,"Oranges, Mandarines",2611,"2Ê161Ê570.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Iran (Islamic Republic of),102,Apples and products,2617,"1Ê747Ê792.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Iran (Islamic Republic of),102,"Oranges, Mandarines",2611,"2Ê151Ê983.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Ireland,104,Apples and products,2617,"81Ê822.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Ireland,104,"Oranges, Mandarines",2611,"400Ê143.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Israel,105,Apples and products,2617,"135Ê919.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Israel,105,"Oranges, Mandarines",2611,"159Ê052.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Italy,106,Apples and products,2617,"1Ê171Ê850.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Italy,106,"Oranges, Mandarines",2611,"2Ê845Ê215.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Jamaica,109,Apples and products,2617,"4Ê617.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Jamaica,109,"Oranges, Mandarines",2611,"111Ê536.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Japan,110,Apples and products,2617,"1Ê993Ê726.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Japan,110,"Oranges, Mandarines",2611,"1Ê308Ê999.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Jordan,112,Apples and products,2617,"55Ê980.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Jordan,112,"Oranges, Mandarines",2611,"71Ê520.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Kazakhstan,108,Apples and products,2617,"359Ê245.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Kazakhstan,108,"Oranges, Mandarines",2611,"61Ê858.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Kenya,114,Apples and products,2617,"6Ê890.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Kenya,114,"Oranges, Mandarines",2611,"33Ê604.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Kiribati,83,Apples and products,2617,"73.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Kiribati,83,"Oranges, Mandarines",2611,"364.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Kuwait,118,Apples and products,2617,"17Ê927.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Kuwait,118,"Oranges, Mandarines",2611,"67Ê534.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Kyrgyzstan,113,Apples and products,2617,"117Ê436.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Kyrgyzstan,113,"Oranges, Mandarines",2611,"9Ê126.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Lao People s Democratic Republic,120,Apples and products,2617,"693.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Lao People s Democratic Republic,120,"Oranges, Mandarines",2611,"76Ê669.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Latvia,119,Apples and products,2617,"30Ê349.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Latvia,119,"Oranges, Mandarines",2611,"21Ê065.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Lebanon,121,Apples and products,2617,"44Ê608.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Lebanon,121,"Oranges, Mandarines",2611,"103Ê842.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Lesotho,122,Apples and products,2617,"5Ê800.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Lesotho,122,"Oranges, Mandarines",2611,"3Ê100.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Liberia,123,Apples and products,2617,"460.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Liberia,123,"Oranges, Mandarines",2611,"7Ê813.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Libya,124,Apples and products,2617,"54Ê554.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Libya,124,"Oranges, Mandarines",2611,"71Ê674.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Lithuania,126,Apples and products,2617,"110Ê982.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Lithuania,126,"Oranges, Mandarines",2611,"46Ê992.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Luxembourg,256,Apples and products,2617,"18Ê092.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Luxembourg,256,"Oranges, Mandarines",2611,"46Ê272.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Madagascar,129,Apples and products,2617,"6Ê683.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Madagascar,129,"Oranges, Mandarines",2611,"83Ê235.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Malawi,130,Apples and products,2617,"3Ê533.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Malawi,130,"Oranges, Mandarines",2611,"717.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Malaysia,131,Apples and products,2617,"91Ê742.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Malaysia,131,"Oranges, Mandarines",2611,"169Ê868.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Maldives,132,Apples and products,2617,"3Ê521.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Maldives,132,"Oranges, Mandarines",2611,"6Ê605.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Mali,133,Apples and products,2617,"293.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Mali,133,"Oranges, Mandarines",2611,"20Ê311.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Malta,134,Apples and products,2617,"9Ê079.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Malta,134,"Oranges, Mandarines",2611,"10Ê199.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Mauritania,136,Apples and products,2617,"2Ê720.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Mauritania,136,"Oranges, Mandarines",2611,"384.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Mauritius,137,Apples and products,2617,"17Ê269.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Mauritius,137,"Oranges, Mandarines",2611,"7Ê133.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Mexico,138,Apples and products,2617,"709Ê221.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Mexico,138,"Oranges, Mandarines",2611,"3Ê978Ê855.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Mongolia,141,Apples and products,2617,"10Ê627.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Mongolia,141,"Oranges, Mandarines",2611,"44Ê040.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Montenegro,273,Apples and products,2617,"34Ê191.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Montenegro,273,"Oranges, Mandarines",2611,"24Ê066.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Morocco,143,Apples and products,2617,"385Ê852.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Morocco,143,"Oranges, Mandarines",2611,"903Ê492.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Mozambique,144,Apples and products,2617,"2Ê172.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Mozambique,144,"Oranges, Mandarines",2611,"47Ê670.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Myanmar,28,Apples and products,2617,"3Ê134.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Namibia,147,Apples and products,2617,"4Ê706.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Namibia,147,"Oranges, Mandarines",2611,"6Ê026.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Nepal,149,Apples and products,2617,"45Ê913.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Nepal,149,"Oranges, Mandarines",2611,"203Ê551.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Netherlands Antilles,151,Apples and products,2617,"400.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Netherlands Antilles,151,"Oranges, Mandarines",2611,"435.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Netherlands,150,Apples and products,2617,"518Ê466.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Netherlands,150,"Oranges, Mandarines",2611,"435Ê034.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
New Caledonia,153,Apples and products,2617,"6Ê106.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
New Caledonia,153,"Oranges, Mandarines",2611,"4Ê029.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
New Zealand,156,Apples and products,2617,"100Ê727.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
New Zealand,156,"Oranges, Mandarines",2611,"85Ê513.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Nicaragua,157,Apples and products,2617,"58Ê711.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Nicaragua,157,"Oranges, Mandarines",2611,"103Ê363.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Niger,158,Apples and products,2617,"886.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Niger,158,"Oranges, Mandarines",2611,"2Ê171.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
